sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Synthetic Feder,Black Fencer,Federschwert Ring Hilt V4,$100 ,3.3lbs,125cm/49in,Rounded,http://www.blackfencer.com/en/home/36-ring-hilt-federschwert-like-steel-waster-v3.html,
Synthetic Feder,Black Fencer,Federschwert Extra Long V4,$100 ,2.8lbs,133cm/52in,Rounded,http://www.blackfencer.com/en/home/14-federschwert-extra-long.html,
Synthetic Feder,Black Fencer,Federschwert XL Ring Hilt V4,$110 ,3.4lbs,136cm/53in,Rounded,http://www.blackfencer.com/en/home/35-ring-hilt-federschwert-xl-like-steel-waster-v3.html,
Synthetic Feder,Purpleheart,Synthetic Meyer Feder,$110 ,2.6lbs,126cm/49.5in,Thickened,http://www.woodenswords.com/product_p/type-iii-f.fuller.htm,
Synthetic Longsword Simulator,Black Fencer,Longsword Light V4,$80 ,3lbs,125cm/49in,Rounded,http://www.blackfencer.com/en/home/8-longsword-waster.html,
Synthetic Longsword Simulator,Black Fencer,Longsword Heavy V,$90 ,3lbs,126cm/49.5in,Rounded,http://www.blackfencer.com/en/home/64-longsword-waster.html,
Synthetic Longsword Simulator,Black Fencer,Longsword Extra Long V4,$100 ,3lbs,133cm/52in,Rounded,http://www.blackfencer.com/en/home/26-like-steel-waster-longsword-extra-v2.html,
Synthetic Longsword Simulator,Black Fencer,Longsword Ring Hilt V4,$100 ,3.3lbs,125cm/49in,Rounded,http://www.blackfencer.com/en/home/30-ring-hilt-longsword-like-steel-waster-v2.html,
Synthetic Longsword Simulator,Black Fencer,Longsword XL Ring Hilt V4,$110 ,3.4lbs,136cm/53in,Rounded,http://www.blackfencer.com/en/home/34-ring-hilt-longsword-xl-like-steel-waster-v3.html,
Synthetic Longsword Simulator,Knight Shop,Rawlings Longsword,$45 ,1.6lbs,124cm/49in,Rounded,https://www.theknightshop.com/longsword,
Synthetic Longsword Simulator,Purpleheart,"Pentti III w/ Fuller 47.5""",$115 ,2.5lbs,120cm/47.5in,Thickened,http://www.woodenswords.com/product_p/type-iii-47.5f.htm,
Synthetic Longsword Simulator,Purpleheart,"Pentti III w/ Fuller 47.5"" Disc Pommel",$120 ,2.5lbs,120cm/47.5in,Thickened,http://www.woodenswords.com/product_p/type-iii-47.5f.disc.htm,
Synthetic Longsword Simulator,Purpleheart,"Pentti III w/ Fuller 50""",$120 ,2.6lbs,127cm/50in,Thickened,http://www.woodenswords.com/product_p/type-iii-50.fuller.htm,
Synthetic Longsword Simulator,Purpleheart,"Pentti III w/ Fuller 50"" Disc Pommel",$125 ,2.6lbs,127cm/50in,Thickened,http://www.woodenswords.com/product_p/type-iii-50.fuller.disc.htm,
Steel Messer,Albion,Marxbruder,$580 ,2lbs,92cm/36in,Rounded,https://www.albion-swords.com/swords/albion/maestro/sword-practice-marxbruder-grossemesser.htm,
